maskapai,asal,tujuan,tahun,penumpang,harga
rajawali,PKU,PDG,2015,132,2536149
mataram,KNO,UPG,2015,167,3273027
macan,PKU,SRG,2017,120,2301663
rajawali,BDO,BTH,2014,96,1792531
mataram,PKU,UPG,2016,140,2694371
macan,BDO,DPS,2017,140,2704373
macan,CGK,SRG,2017,93,1725295
macan,PKU,UPG,2014,146,2830997
macan,JOG,DPS,2016,80,2693894
country link,JOG,DPS,2017,93,1707116
rajawali,PKU,HLP,2015,61,1039475
water asia,PKU,BTH,2016,159,3096066
mataram,KNO,PDG,2016,153,2964651
mataram,KNO,UPG,2015,84,1514158
rajawali,CGK,UPG,2017,123,2363791
rajawali,KNO,PDG,2014,69,1204469
water asia,CGK,DPS,2017,166,3250864
rajawali,BDO,SRG,2017,78,1405836
mataram,KNO,SRG,2014,144,1964410
rajawali,KNO,BTH,2016,140,2693291
mataram,JOG,DPS,2017,110,2086849
water asia,KNO,SRG,2015,170,3346807
rajawali,BTO,DPS,2017,146,2818883
rajawali,KNO,DPS,2016,100,1865369
water asia,CGK,BTH,2016,154,2983378
macan,KNO,SRG,2016,180,3554388
macan,BDO,PDG,2015,98,1825575
macan,CGK,UPG,2014,170,3339804
mataram,CGK,PDG,2014,109,2063724
rajawali,KNO,PDG,2017,110,2090787
mataram,PKU,PDG,2014,158,3087815
country link,BTO,SRG,2014,86,1580516
country link,KNO,HLP,2015,119,2705829
macan,CGK,DPS,2016,141,2720622
macan,CGK,BTH,2017,114,2168211
water asia,JOG,BTH,2016,73,1293350
country link,PKU,DPS,2016,193,3840613
water asia,BDO,DPS,2014,132,2532192
country link,BDO,DPS,2014,107,2017290
rajawali,JOG,UPG,2015,156,3040995
country link,KNO,SRG,2015,196,3897548
water asia,BTO,PDG,2016,137,2631392
mataram,BDO,HLP,2015,72,1263157
water asia,BTO,PDG,2017,90,1650047
country link,PKU,SRG,2014,153,2973844
rajawali,JOG,SRG,2017,73,1280252
rajawali,BDO,UPG,2015,183,3625625
mataram,JOG,SRG,2015,148,2854583
macan,JOG,BTH,2015,164,3201937
country link,BDO,PDG,2015,117,2231666
rajawali,BTO,SRG,2016,122,2344686
country link,CGK,DPS,2015,85,1539117
country link,PKU,HLP,2017,139,2673385
rajawali,BDO,DPS,2015,151,2928445
mataram,BDO,DPS,2016,68,1181653
rajawali,CGK,HLP,2016,161,3154823
country link,BTO,UPG,2017,144,2766572
rajawali,CGK,SRG,2017,182,3587308
macan,KNO,SRG,2014,89,1637962
rajawali,CGK,DPS,2016,168,3296422
water asia,BDO,BTH,2017,175,3450392
country link,CGK,HLP,2015,89,1633704
rajawali,JOG,HLP,2016,146,2817741
rajawali,BTO,DPS,2017,147,2844794
country link,BDO,HLP,2015,189,3744052
macan,CGK,UPG,2015,101,2627090
mataram,JOG,SRG,2017,166,3264331
country link,JOG,UPG,2016,76,1354465
macan,KNO,HLP,2015,133,2555261
macan,CGK,PDG,2014,126,2419861
water asia,BDO,UPG,2017,194,3855417
macan,PKU,BTH,2015,79,1424322
rajawali,JOG,DPS,2016,85,1547472
water asia,JOG,BTH,2017,185,3679245
water asia,PKU,SRG,2016,73,1285040
mataram,CGK,SRG,2017,99,1827624
country link,KNO,DPS,2017,154,2996279
water asia,KNO,DPS,2015,165,3243471
rajawali,PKU,HLP,2015,116,2219734
macan,CGK,UPG,2016,184,3646508
mataram,CGK,DPS,2017,191,3782811
mataram,CGK,DPS,2014,68,1165860
water asia,JOG,UPG,2014,170,3343170
water asia,CGK,PDG,2016,158,3085038
rajawali,JOG,SRG,2015,120,2306070
country link,BDO,HLP,2017,100,1864463
macan,CGK,BTH,2014,74,1302360
macan,PKU,DPS,2014,115,2188550
mataram,PKU,HLP,2015,138,2652863
rajawali,PKU,HLP,2015,84,3700109
mataram,BTO,PDG,2016,175,3441116
rajawali,BDO,HLP,2017,167,3287687
mataram,BDO,PDG,2016,119,2277670
rajawali,JOG,HLP,2016,136,2628294
water asia,BTO,PDG,2014,132,2537008
mataram,CGK,UPG,2016,151,2259001
mataram,BDO,DPS,2015,165,3235758
macan,PKU,HLP,2017,120,2297871
macan,CGK,DPS,2014,191,3799239
mataram,BTO,SRG,2014,130,2490770
macan,BDO,UPG,2015,173,3399111
rajawali,BDO,PDG,2014,123,2356965
mataram,PKU,HLP,2015,118,2259045
rajawali,JOG,DPS,2016,104,1954166
rajawali,BTO,SRG,2016,149,2884486
water asia,JOG,DPS,2014,152,2944900
water asia,CGK,HLP,2017,190,3766073
mataram,PKU,SRG,2014,76,1367461
macan,PKU,BTH,2016,102,1908830
mataram,KNO,DPS,2015,179,3537807
rajawali,CGK,PDG,2014,117,2236422
water asia,JOG,HLP,2016,113,2154388
macan,PKU,HLP,2017,153,2969052
mataram,CGK,HLP,2016,183,3606926
macan,CGK,UPG,2016,95,1761072
mataram,BDO,DPS,2016,129,2962328
macan,PKU,UPG,2017,113,2143216
country link,JOG,BTH,2017,91,1666807
water asia,KNO,HLP,2016,147,2848897
macan,BDO,PDG,2014,167,3279289
mataram,PKU,UPG,2015,175,3446521
rajawali,CGK,SRG,2017,72,1268304
country link,BDO,SRG,2014,186,3694771
macan,PKU,SRG,2017,110,2100117
water asia,JOG,DPS,2014,94,1748994
macan,PKU,HLP,2016,154,2977684
country link,PKU,BTH,2017,79,1427516
water asia,PKU,DPS,2017,105,1974717
water asia,BTO,UPG,2014,199,3969611
water asia,BDO,PDG,2015,165,3237497
country link,BDO,SRG,2017,95,1772564
country link,KNO,UPG,2015,76,1362706
macan,PKU,BTH,2015,170,3339514
country link,CGK,PDG,2016,88,1612386
rajawali,BTO,DPS,2017,182,3586548
water asia,JOG,BTH,2014,195,3878799
mataram,JOG,BTH,2017,137,2644513
macan,JOG,BTH,2015,99,1848146
macan,BTO,UPG,2014,132,2536978
macan,CGK,BTH,2016,86,1564206
macan,PKU,PDG,2015,178,3516117
macan,PKU,DPS,2015,179,3538050
macan,JOG,DPS,2017,129,2466112
water asia,BTO,BTH,2015,173,3400822
macan,JOG,PDG,2017,195,3867646
macan,KNO,BTH,2015,101,1884366
rajawali,PKU,PDG,2015,169,3315140
water asia,PKU,BTH,2015,94,1753698
rajawali,CGK,HLP,2017,109,2059896
rajawali,JOG,PDG,2015,149,2900224
mataram,KNO,PDG,2015,124,2385774
rajawali,PKU,HLP,2016,131,2517553
country link,JOG,DPS,2016,82,1476988
mataram,KNO,UPG,2016,116,2215294
macan,KNO,BTH,2016,179,3519935
water asia,PKU,HLP,2015,101,1886119
rajawali,CGK,PDG,2016,192,3819154
mataram,BTO,DPS,2015,189,3747038
rajawali,JOG,DPS,2015,136,2628585
country link,KNO,BTH,2015,153,2965335
country link,BDO,DPS,2014,105,1972749
country link,BTO,DPS,2014,122,2334462
water asia,CGK,HLP,2015,191,3780511
rajawali,BDO,HLP,2016,190,3777312
country link,BDO,BTH,2015,74,3803764
mataram,CGK,HLP,2015,154,3001306
mataram,KNO,BTH,2017,162,3173209
water asia,BTO,HLP,2014,84,1514544
mataram,KNO,HLP,2014,177,3484174
country link,JOG,HLP,2014,191,3780233
water asia,PKU,HLP,2016,138,2664460
water asia,BTO,DPS,2017,84,1525782
rajawali,BDO,SRG,2015,164,3213982
country link,BDO,SRG,2014,195,3885420
water asia,BDO,HLP,2016,103,1935469
water asia,BTO,SRG,2014,129,2472011
macan,BTO,BTH,2014,104,1952231
water asia,CGK,UPG,2015,125,2403018
country link,JOG,HLP,2015,189,3749667
country link,BDO,SRG,2015,124,2369495
country link,KNO,SRG,2017,129,2480358
mataram,BDO,BTH,2015,192,3812925
water asia,BTO,SRG,2016,190,3770640
mataram,KNO,SRG,2017,173,3412436
country link,PKU,DPS,2017,186,3682536
rajawali,JOG,SRG,2017,118,2257019
rajawali,BTO,UPG,2017,101,1887336
water asia,BDO,BTH,2014,64,1092910
water asia,JOG,HLP,2017,99,1843301
rajawali,BTO,SRG,2016,84,1530400
macan,BTO,HLP,2014,159,3098041
mataram,CGK,HLP,2017,115,2184735
water asia,PKU,HLP,2017,122,3508327
water asia,JOG,UPG,2017,75,1322787
mataram,BTO,PDG,2017,165,3225391
macan,BDO,PDG,2016,65,1109203
mataram,BDO,BTH,2017,191,3798395
rajawali,JOG,DPS,2017,166,3253178
macan,JOG,SRG,2015,187,1952815
water asia,BTO,SRG,2017,111,2111732
rajawali,PKU,PDG,2017,67,1144935
country link,BTO,DPS,2015,161,3153781
country link,KNO,BTH,2014,65,1115803
water asia,KNO,UPG,2015,160,3132032
rajawali,CGK,SRG,2016,68,1185784
water asia,BTO,SRG,2014,118,2254956
country link,JOG,DPS,2016,162,3169790
country link,JOG,SRG,2017,195,3872803
water asia,PKU,HLP,2016,173,3409533
water asia,BTO,PDG,2015,111,2105964
macan,PKU,PDG,2015,80,1437860
water asia,PKU,SRG,2017,149,2886058
rajawali,CGK,HLP,2015,107,2010037
water asia,BTO,SRG,2016,157,3054465
rajawali,CGK,HLP,2015,169,3326085
mataram,BTO,DPS,2015,193,3821596
water asia,PKU,BTH,2014,143,2750142
mataram,KNO,PDG,2015,90,1648186
mataram,CGK,PDG,2014,90,1652343
water asia,KNO,PDG,2015,95,1762468
water asia,BTO,UPG,2017,115,2196701
macan,KNO,PDG,2017,151,2936546
macan,BDO,UPG,2015,61,1040822
water asia,CGK,BTH,2017,60,1009742
mataram,BTO,SRG,2017,106,2003017
water asia,CGK,UPG,2017,85,1553690
water asia,BDO,PDG,2016,117,2224714
mataram,BDO,HLP,2016,186,3694937
water asia,BTO,BTH,2015,60,1002349
mataram,CGK,UPG,2016,165,3226891
water asia,BDO,DPS,2015,87,1591476
water asia,KNO,DPS,2017,121,2317177
macan,JOG,SRG,2014,138,2665358
country link,JOG,PDG,2017,80,1430220
water asia,KNO,BTH,2017,82,1650889
water asia,CGK,SRG,2014,130,2493978
water asia,PKU,UPG,2014,124,2369243
country link,PKU,HLP,2016,162,2549678
macan,KNO,BTH,2017,81,1463274
macan,KNO,BTH,2015,78,1402246
mataram,BDO,SRG,2014,129,2471443
macan,CGK,DPS,2014,110,2097435
macan,PKU,UPG,2015,100,1857921
mataram,KNO,SRG,2017,170,3338246
mataram,PKU,BTH,2014,198,3939223
rajawali,BDO,UPG,2015,168,3308999
rajawali,JOG,DPS,2015,160,3126618
water asia,PKU,UPG,2016,82,1471917
mataram,KNO,HLP,2016,83,1415911
water asia,JOG,DPS,2015,67,1957840
country link,KNO,PDG,2016,166,3265046
mataram,PKU,SRG,2016,71,1243853
macan,KNO,PDG,2017,138,2661891
macan,BDO,BTH,2014,116,2218846
mataram,JOG,PDG,2015,61,3640016
mataram,JOG,UPG,2017,142,2744362
country link,PKU,PDG,2016,101,1868571
rajawali,BDO,DPS,2014,76,1364455
rajawali,PKU,PDG,2016,78,1876328
water asia,KNO,HLP,2014,79,1417774
water asia,BDO,HLP,2015,70,1229798
macan,PKU,SRG,2016,129,2461717
rajawali,BDO,BTH,2017,96,1783802
country link,CGK,UPG,2015,131,2523875
macan,PKU,HLP,2017,139,2672965
country link,BTO,BTH,2015,154,2985988
water asia,BTO,UPG,2016,131,2501162
mataram,CGK,PDG,2017,128,2459183
mataram,JOG,DPS,2016,176,3474044
water asia,JOG,DPS,2017,66,1132602
water asia,BTO,HLP,2014,151,2926191
country link,PKU,HLP,2016,104,1937115
water asia,BDO,DPS,2016,187,3720808
macan,KNO,HLP,2017,81,1467651
water asia,JOG,UPG,2015,138,2662154
rajawali,KNO,SRG,2014,104,1938683
rajawali,BTO,SRG,2017,179,3531117
water asia,JOG,HLP,2015,107,2021302
mataram,KNO,BTH,2016,140,2690055
macan,BTO,HLP,2014,195,3869051
mataram,KNO,SRG,2017,134,2564651
mataram,BDO,UPG,2015,176,3467916
rajawali,KNO,SRG,2017,168,3289095
country link,CGK,UPG,2016,190,3770777
mataram,BTO,BTH,2016,77,1378906
country link,CGK,UPG,2017,91,1676518
macan,BDO,HLP,2014,70,1222502
mataram,CGK,BTH,2017,110,2082925
water asia,PKU,UPG,2016,149,3631347
macan,KNO,UPG,2015,190,3765247
mataram,JOG,BTH,2015,70,1220114
mataram,BDO,UPG,2015,142,2913262
macan,BDO,DPS,2015,182,3590272
country link,KNO,PDG,2017,71,1389675
macan,JOG,UPG,2016,172,3381663
mataram,BTO,UPG,2016,144,2765636
macan,BDO,PDG,2017,191,3785682
country link,BDO,DPS,2014,69,1202631
water asia,CGK,SRG,2017,196,3889688
mataram,CGK,HLP,2016,86,1573448
rajawali,PKU,UPG,2016,94,1733880
macan,CGK,BTH,2014,156,3042198
rajawali,CGK,HLP,2014,75,1316748
water asia,KNO,UPG,2014,163,3196075
water asia,JOG,HLP,2015,153,2969541
macan,CGK,DPS,2017,172,3377878
mataram,PKU,SRG,2017,97,1806441
country link,BTO,DPS,2016,113,2143641
country link,JOG,BTH,2014,110,2098201
mataram,PKU,UPG,2017,195,2251467
rajawali,CGK,HLP,2014,177,2126802
mataram,BTO,HLP,2016,178,3509572
water asia,BDO,DPS,2014,82,1478290
macan,CGK,SRG,2016,173,3397909
macan,KNO,BTH,2016,95,1764032
mataram,CGK,BTH,2014,143,2764358
rajawali,CGK,HLP,2016,165,1233683
macan,CGK,PDG,2017,141,2722554
mataram,CGK,BTH,2017,145,2805586
country link,BTO,DPS,2014,85,1547566
country link,PKU,BTH,2016,96,1780489
mataram,BTO,HLP,2017,113,2562008
mataram,BTO,SRG,2017,93,1727208
country link,KNO,UPG,2015,192,3809912
macan,JOG,UPG,2016,110,2091924
mataram,BTO,BTH,2017,63,1073411
rajawali,BTO,HLP,2016,152,2945980
macan,PKU,DPS,2014,98,1822570
rajawali,CGK,BTH,2015,119,2273758
water asia,PKU,BTH,2014,197,3905066
rajawali,JOG,HLP,2015,126,2413699
country link,KNO,PDG,2015,129,3922114
rajawali,BTO,HLP,2016,116,2214564
country link,BDO,BTH,2014,95,1765440
mataram,BTO,SRG,2017,80,1435631
water asia,BDO,PDG,2017,103,1932180
rajawali,KNO,PDG,2017,175,3448395
macan,CGK,UPG,2017,129,2469226
rajawali,KNO,UPG,2016,157,3053128
country link,BDO,UPG,2017,78,1398312
macan,CGK,PDG,2014,182,3603621
macan,KNO,UPG,2015,64,1104841
macan,BDO,SRG,2016,159,3105952
water asia,JOG,SRG,2017,94,1749127
rajawali,KNO,SRG,2014,199,3967710
mataram,BDO,SRG,2014,157,3053051
country link,JOG,DPS,2015,178,3510297
rajawali,CGK,HLP,2016,159,3092152
mataram,BDO,HLP,2014,90,1649929
mataram,BDO,PDG,2017,135,2595595
rajawali,KNO,DPS,2016,104,1952250
country link,KNO,DPS,2017,199,3964563
water asia,PKU,HLP,2014,83,1491840
macan,JOG,DPS,2015,66,1135602
macan,CGK,PDG,2014,100,1850513
country link,BDO,BTH,2017,174,3430264
rajawali,BDO,SRG,2015,194,3857688
macan,PKU,SRG,2016,103,1923536
rajawali,CGK,DPS,2015,65,1117000
water asia,PKU,SRG,2015,165,3223433
macan,KNO,HLP,2017,86,1570690
water asia,CGK,UPG,2014,75,1332691
country link,BTO,DPS,2014,113,2144666
water asia,CGK,HLP,2014,141,2711035
water asia,BTO,DPS,2015,65,1117999
mataram,BDO,BTH,2017,177,3491875
country link,KNO,HLP,2015,169,3314114
mataram,BDO,UPG,2015,152,2948743
country link,CGK,HLP,2017,166,3261065
macan,CGK,HLP,2015,79,1427355
macan,KNO,UPG,2014,170,3349394
water asia,PKU,HLP,2016,150,2903748
rajawali,KNO,PDG,2014,77,1386866
country link,PKU,BTH,2014,115,2194471
country link,KNO,SRG,2017,134,2584420
mataram,KNO,UPG,2014,113,2152169
country link,PKU,DPS,2014,137,2641256
macan,CGK,DPS,2014,199,3967211
mataram,BDO,UPG,2014,74,1314943
water asia,CGK,UPG,2015,81,1461486
mataram,BTO,PDG,2014,144,2772101
macan,CGK,SRG,2016,151,2920262
mataram,PKU,SRG,2014,110,2087722
macan,BTO,BTH,2016,135,2601277
country link,BTO,DPS,2016,115,2187702
mataram,CGK,BTH,2015,164,3209862
macan,BDO,PDG,2016,122,2330229
country link,JOG,UPG,2016,197,3915158
water asia,BTO,SRG,2015,136,2628641
water asia,PKU,DPS,2016,169,3326547
macan,BTO,PDG,2014,73,1292500
mataram,CGK,UPG,2016,170,3341871
mataram,PKU,UPG,2015,149,2892580
macan,PKU,DPS,2017,132,2534576
country link,BDO,SRG,2017,94,1734279
macan,CGK,SRG,2015,71,3251371
macan,CGK,SRG,2014,130,3718856
mataram,BDO,UPG,2014,189,3750629
water asia,JOG,PDG,2014,83,1495517
mataram,JOG,BTH,2016,68,1174336
macan,KNO,SRG,2014,111,2105825
country link,PKU,PDG,2015,60,1003531
rajawali,PKU,SRG,2015,100,1864786
country link,BDO,UPG,2016,76,1366230
mataram,JOG,HLP,2017,154,3004884
water asia,CGK,UPG,2017,134,2585987
water asia,BDO,BTH,2016,163,3178757
mataram,KNO,HLP,2014,132,2537809
rajawali,KNO,PDG,2014,134,2579715
rajawali,KNO,UPG,2015,106,1998743
macan,BTO,HLP,2017,194,3854848
water asia,CGK,HLP,2014,69,1217696
water asia,PKU,PDG,2016,187,3703969
rajawali,CGK,PDG,2014,122,2346158
water asia,CGK,BTH,2015,196,3898038
rajawali,BTO,PDG,2016,83,1502187
rajawali,PKU,HLP,2016,178,3498525
mataram,JOG,PDG,2016,108,2046639
macan,BDO,HLP,2014,100,1857539
rajawali,BTO,PDG,2014,178,3514921
rajawali,CGK,PDG,2015,179,3516901
country link,JOG,UPG,2014,133,2559100
macan,PKU,DPS,2014,142,2727805
macan,PKU,DPS,2017,159,3094834
mataram,PKU,PDG,2017,106,1992334
rajawali,BDO,DPS,2016,188,3734826
water asia,KNO,UPG,2017,64,1102786
rajawali,BTO,DPS,2017,103,1915658
water asia,BTO,BTH,2017,85,1538980
macan,BDO,PDG,2017,84,1804835
mataram,PKU,DPS,2014,91,1672671
water asia,KNO,HLP,2016,169,3313515
macan,BTO,HLP,2017,198,3938997
mataram,BTO,DPS,2016,175,2527243
macan,JOG,HLP,2016,75,1326685
mataram,CGK,UPG,2017,128,2457701
rajawali,BDO,UPG,2017,100,1863954
country link,BDO,DPS,2014,146,2818107
macan,CGK,UPG,2017,200,3841759
macan,PKU,HLP,2017,133,2547780
mataram,PKU,HLP,2016,141,2708867
mataram,KNO,HLP,2015,136,2625072
mataram,CGK,PDG,2016,69,1215081
water asia,JOG,SRG,2014,132,2530858
country link,BDO,UPG,2016,144,2766930
mataram,PKU,DPS,2014,167,3288356
country link,BDO,DPS,2014,77,1386585
water asia,BDO,UPG,2017,100,1859041
mataram,CGK,HLP,2017,69,1198658
mataram,BTO,UPG,2017,126,2423279
country link,KNO,SRG,2015,147,2844303
macan,PKU,DPS,2014,172,3782689
water asia,PKU,UPG,2016,199,3965834
rajawali,KNO,UPG,2017,64,1098104
mataram,BDO,SRG,2015,135,3669497
water asia,KNO,PDG,2017,88,1627856
rajawali,BDO,SRG,2014,72,1278273
water asia,CGK,HLP,2014,200,3972675
mataram,KNO,BTH,2017,146,2829536
country link,BDO,SRG,2014,160,3122075
rajawali,BTO,BTH,2014,152,2945253
macan,BDO,DPS,2014,185,3663319
macan,BDO,BTH,2014,192,3801338
country link,CGK,BTH,2017,66,3424132
rajawali,BDO,PDG,2014,98,1823136
water asia,BDO,HLP,2014,105,1979040
macan,CGK,PDG,2014,123,3377105
macan,JOG,UPG,2015,125,2396854
country link,CGK,UPG,2014,105,1960219
rajawali,PKU,PDG,2017,61,1034092
mataram,CGK,PDG,2016,137,2635241
mataram,CGK,DPS,2015,197,3918968
rajawali,BTO,HLP,2017,118,2244148
water asia,JOG,DPS,2015,142,2743455
rajawali,BTO,PDG,2017,148,2873599
macan,PKU,PDG,2016,162,3165653
mataram,BDO,SRG,2015,176,3471075
water asia,PKU,PDG,2017,189,3748699
rajawali,JOG,UPG,2015,115,2183958
mataram,BDO,SRG,2016,73,1290801
country link,BTO,SRG,2016,136,2630106
rajawali,PKU,SRG,2014,69,1209117
mataram,PKU,DPS,2016,85,2848432
rajawali,PKU,DPS,2014,66,1134349
macan,KNO,DPS,2017,114,2161586
water asia,BTO,UPG,2015,114,2168394
water asia,BTO,BTH,2016,186,3682721
country link,BTO,HLP,2015,114,2160511
macan,BTO,SRG,2014,158,1809325
country link,KNO,BTH,2017,127,1897442
rajawali,BTO,DPS,2014,126,2418907
water asia,KNO,BTH,2016,91,1675969
mataram,JOG,HLP,2015,73,1289713
mataram,CGK,HLP,2014,84,1527986
country link,BTO,SRG,2016,103,1919785
rajawali,JOG,DPS,2017,193,3836574
mataram,PKU,PDG,2016,113,2144273
macan,JOG,HLP,2014,100,1860587
rajawali,KNO,UPG,2017,180,3561419
country link,BDO,UPG,2015,85,1544165
macan,BTO,UPG,2016,198,3590471
water asia,CGK,UPG,2015,107,2006703
water asia,CGK,BTH,2016,194,3853786
country link,JOG,DPS,2015,172,3381149
macan,BTO,SRG,2016,102,1911644
rajawali,PKU,DPS,2015,189,2275731
macan,CGK,SRG,2016,116,2204949
water asia,KNO,PDG,2017,141,2715121
mataram,CGK,DPS,2017,76,1341517
mataram,PKU,BTH,2015,159,3100321
rajawali,BDO,BTH,2015,171,3362369
water asia,JOG,PDG,2017,73,3704993
country link,BDO,BTH,2014,111,2122525
country link,BTO,HLP,2014,107,2009598
water asia,PKU,DPS,2014,184,3633368
mataram,BDO,UPG,2015,154,2980284
water asia,KNO,PDG,2014,163,3176505
rajawali,BDO,UPG,2014,168,3308950
water asia,CGK,PDG,2017,68,1165996
macan,BTO,HLP,2015,195,3874665
country link,PKU,DPS,2017,180,3562282
country link,KNO,SRG,2016,194,3858058
mataram,CGK,UPG,2016,198,3951435
country link,CGK,SRG,2017,110,1985340
macan,CGK,DPS,2014,194,3863266
macan,CGK,BTH,2015,103,1915569
mataram,CGK,HLP,2015,171,3364265
country link,BTO,HLP,2015,191,3783763
water asia,BDO,DPS,2016,127,2428797
rajawali,BDO,PDG,2015,90,1663920
water asia,BTO,PDG,2015,156,3027436
rajawali,CGK,HLP,2016,147,2832658
country link,JOG,HLP,2016,163,3185349
macan,CGK,UPG,2017,114,2181855
water asia,CGK,UPG,2016,131,2517361
country link,PKU,UPG,2016,123,2359284
rajawali,BDO,HLP,2015,166,3265452
macan,JOG,DPS,2014,122,2333153
water asia,BDO,DPS,2017,98,1813015
macan,JOG,HLP,2016,181,3572905
rajawali,CGK,PDG,2016,118,2240781
water asia,BDO,PDG,2017,134,2586630
water asia,PKU,SRG,2016,173,3410116
rajawali,JOG,SRG,2017,116,2210901
country link,PKU,DPS,2017,147,2848742
mataram,CGK,PDG,2016,106,2345816
macan,CGK,UPG,2017,118,2253144
water asia,PKU,UPG,2016,165,3246166
rajawali,CGK,UPG,2017,124,2368440
country link,KNO,DPS,2014,142,2738306
mataram,BTO,DPS,2015,79,1422854
country link,CGK,BTH,2015,100,1855148
water asia,CGK,UPG,2015,96,1784056
water asia,BDO,DPS,2015,194,3850004
mataram,CGK,DPS,2014,86,3226785
country link,JOG,PDG,2014,199,3963377
macan,JOG,HLP,2014,86,1571323
macan,PKU,PDG,2016,167,3288672
macan,JOG,BTH,2014,93,3858411
country link,CGK,DPS,2014,159,3092463
mataram,BDO,SRG,2014,149,2898208
country link,JOG,DPS,2016,169,3321643
country link,JOG,BTH,2016,66,1131323
rajawali,CGK,SRG,2014,93,1724201
macan,JOG,SRG,2014,70,1222275
country link,PKU,PDG,2016,65,1122957
rajawali,PKU,PDG,2014,164,3204596
water asia,CGK,UPG,2015,126,2424530
water asia,BTO,BTH,2014,197,3925328
country link,BDO,PDG,2014,87,1607869
rajawali,BDO,PDG,2016,181,3582431
mataram,KNO,DPS,2016,169,3323460
rajawali,PKU,UPG,2014,159,3092624
country link,PKU,DPS,2014,78,1404461
country link,KNO,PDG,2016,198,3928346
mataram,PKU,BTH,2015,169,3324587
mataram,KNO,SRG,2017,68,1171791
rajawali,JOG,BTH,2017,94,1746449
rajawali,CGK,UPG,2015,138,2663888
macan,BTO,DPS,2014,137,2639091
mataram,PKU,HLP,2017,108,2052012
rajawali,BDO,SRG,2014,128,2454408
rajawali,JOG,HLP,2017,177,3482913
water asia,KNO,PDG,2014,153,2970094
water asia,KNO,PDG,2017,199,3969726
country link,JOG,PDG,2014,192,3812100
water asia,JOG,PDG,2014,128,2448973
mataram,KNO,UPG,2014,98,1821562
mataram,CGK,HLP,2015,67,3509221
macan,CGK,PDG,2014,184,3650348
country link,CGK,BTH,2017,171,2005011
water asia,BDO,SRG,2015,111,2123574
rajawali,JOG,BTH,2014,99,1848574
country link,CGK,DPS,2016,171,3364147
rajawali,BTO,BTH,2016,76,1368390
water asia,BDO,BTH,2017,178,1150763
macan,BDO,DPS,2014,109,2060000
water asia,JOG,PDG,2015,142,2727385
mataram,CGK,SRG,2016,142,2734000
water asia,JOG,PDG,2016,145,2808764
rajawali,BTO,SRG,2015,109,2070525
water asia,KNO,SRG,2017,189,3742339
macan,JOG,UPG,2014,77,1378484
water asia,JOG,DPS,2016,150,1223283
macan,BTO,HLP,2015,154,3003068
water asia,JOG,HLP,2016,145,2801083
macan,CGK,HLP,2016,106,1996097
water asia,CGK,SRG,2017,74,1298368
water asia,BDO,BTH,2015,194,3845568
rajawali,KNO,HLP,2014,100,1857543
country link,PKU,HLP,2016,151,2928247
mataram,KNO,DPS,2017,192,3811899
macan,BDO,BTH,2014,177,3485988
country link,BDO,SRG,2016,164,3216982
water asia,JOG,DPS,2015,116,2216427
country link,CGK,DPS,2015,88,1624981
macan,KNO,DPS,2015,192,1636422
rajawali,BTO,SRG,2014,66,1141184
mataram,BDO,UPG,2014,171,3355680
country link,JOG,UPG,2014,124,2378353
mataram,BTO,DPS,2015,95,1758963
water asia,BDO,HLP,2016,94,2181841
country link,BDO,HLP,2015,176,3468990
country link,JOG,HLP,2017,120,2296488
macan,KNO,UPG,2016,111,2111673
water asia,JOG,PDG,2015,85,1550349
mataram,KNO,HLP,2016,92,1697241
rajawali,JOG,DPS,2017,111,2115963
rajawali,BDO,HLP,2015,113,2159497
water asia,BTO,BTH,2015,85,1549513
rajawali,CGK,UPG,2015,185,3679378
water asia,BDO,BTH,2017,169,3314870
country link,CGK,DPS,2015,96,1779118
rajawali,PKU,HLP,2014,66,1132863
country link,JOG,DPS,2015,182,3589895
mataram,BDO,UPG,2016,177,3490205
country link,CGK,UPG,2015,165,1337411
macan,KNO,PDG,2016,197,3912323
macan,KNO,HLP,2016,87,1601876
water asia,BDO,DPS,2015,104,3718976
mataram,PKU,BTH,2015,113,2156649
country link,BDO,SRG,2016,100,1851768
macan,BDO,UPG,2015,117,2235955
water asia,JOG,DPS,2014,129,2478197
rajawali,KNO,PDG,2017,104,1943334
country link,PKU,DPS,2017,120,2293741
water asia,BDO,SRG,2015,105,1960349
mataram,JOG,HLP,2016,161,3145706
macan,CGK,UPG,2015,82,1478834
macan,BDO,SRG,2016,99,1834412
macan,JOG,SRG,2016,147,2847892
rajawali,CGK,BTH,2015,157,3048840
macan,CGK,UPG,2017,192,2205747
mataram,CGK,UPG,2014,136,2621824
macan,BDO,SRG,2014,157,3048931
mataram,CGK,SRG,2016,164,3216766
macan,JOG,DPS,2017,170,3351013
country link,BTO,PDG,2015,82,1663501
country link,KNO,HLP,2014,86,1575976
mataram,CGK,SRG,2015,162,3163528
rajawali,PKU,SRG,2016,89,1640432
country link,BDO,BTH,2017,91,1675613
mataram,BDO,DPS,2014,179,3531005
rajawali,PKU,HLP,2015,134,2579300
mataram,PKU,PDG,2016,74,1304088
rajawali,PKU,BTH,2016,105,1965020
macan,PKU,HLP,2014,122,2338743
macan,KNO,HLP,2016,156,3024673
water asia,BDO,PDG,2014,120,2300248
rajawali,KNO,BTH,2015,84,1517423
water asia,BTO,PDG,2014,142,2731107
